Rind,reaction,idx,code
MR_89763_1,[C:1]1([H:9])([H:10])/[C:3](=[N:7]\[H:8])[C:4]1([C:2]([H:12])([H:13])[H:14])[C:5](=[O:6])[H:11]>>[C:1]1([H:9])([H:10])/[C:3](=[N:7]\[H:8])[C:4]([C:2]([H:12])([H:13])[H:14])=[C:5]([H:11])[O:6]1,11041,10209
MR_89983_0,[C:1]1([H:10])([H:11])[C:3]2([N:5]([H:8])[H:9])[C:6]([H:12])=[C:4]([C:2]([H:13])([H:14])[H:15])[N:7]12>>[C:1]1([H:10])([H:11])[C:3]([N:5]([H:8])[H:9])=[C:6]([H:12])[C:4]([C:2]([H:13])([H:14])[H:15])=[N:7]1,11042,10210
MR_89984_2,[C:1](=[N:7]/[C:4]([C:2]([H:13])([H:14])[H:15])=[C:6](\[C-:3]=[N+:5]([H:8])[H:9])[H:12])([H:10])[H:11]>>[C:1]1([H:10])([H:11])[C:3]([N:5]([H:8])[H:9])=[C:6]([H:12])[C:4]([C:2]([H:13])([H:14])[H:15])=[N:7]1,11043,10211
MR_89998_2,[C:1]([C@:5]1([H:12])[N@@+:2]([C:3]([N:4]([H:10])[H:11])=[O:8])([O:6][H:9])[N-:7]1)([H:13])([H:14])[H:15]>>[C:1](/[C:5](=[N:7]\[N:2]([C:3]([N:4]([H:10])[H:11])=[O:8])[O:6][H:9])[H:12])([H:13])([H:14])[H:15],11044,10212
MR_90002_1,[C:1](/[C:5](=[N:7]\[C:3]([N:2]([N:4]([H:10])[H:11])[O:6][H:9])=[O:8])[H:12])([H:13])([H:14])[H:15]>>[C:1]([C@@:5]([N:2]([N:4]([H:10])[H:11])[O:6][H:9])([N:7]=[C:3]=[O:8])[H:12])([H:13])([H:14])[H:15],11045,10213
MR_90163_1,[C:1]([C:2]([H:12])([H:13])[H:14])([C:3]([H:10])([H:11])[H:15])=[N:4][H:6].[N:5]([H:8])([H:9])[C:17]([C:16]([H:20])([H:21])[H:22])([O:18][H:7])[H:19]>>[C:16]([C:17](=[O:18])[H:19])([H:20])([H:21])[H:22].[C:1]([C:2]([H:12])([H:13])[H:14])([C:3]([H:10])([H:11])[H:15])([N:4]([H:6])[H:7])[N:5]([H:8])[H:9],11046,10214
MR_90167_1,[C:1]([C:2]([C:3]([H:18])([H:19])[H:20])([N:5]([H:14])[H:15])[H:11])([N:4]([H:12])[H:13])(/[C:7](=[C:6](\[O:8][H:9])[H:16])[H:17])[H:10]>>[C:1](\[N:4]([H:12])[H:13])(=[C:7](/[C:6](=[O:8])[H:16])[H:17])[H:10].[C:2]([C:3]([H:18])([H:19])[H:20])([N:5]([H:14])[H:15])([H:9])[H:11],11047,10215
MR_90206_0,[C:1]([N:3]([C:2]([H:10])([H:11])[H:12])[H:6])([N:4]([H:7])[H:17])([H:8])[H:9].[H:5][O:15][C:14](=[C:13]([H:18])[H:19])[H:16]>>[C:13]([C:14](=[O:15])[H:16])([H:17])([H:18])[H:19].[C:1]([N:3]([C:2]([H:10])([H:11])[H:12])[H:5])([N:4]([H:6])[H:7])([H:8])[H:9],11048,10216
MR_90215_1,[C:1]([C:4]([H:17])([H:18])[H:19])([C@:6]1([H:8])[N+:5]([C:2]([H:12])([H:13])[H:14])([C:3]([H:11])([H:15])[H:16])[N-:7]1)([H:9])[H:10]>>[C:1]([C:4]([H:17])([H:18])[H:19])(/[C:6](=[N:7]\[N:5]([C:2]([H:12])([H:13])[H:14])[C:3]([H:11])([H:15])[H:16])[H:8])([H:9])[H:10],11049,10217
MR_90296_0,[C:1]([C:2]([H:11])([H:12])[H:13])(=[N+:4]([H:9])[H:10])[O:5][N-:3][H:7].[H:6][H:8]>>[C:1]([C:2]([H:11])([H:12])[H:13])([N:4]([H:9])[H:10])([O:5][N:3]([H:7])[H:8])[H:6],11050,10218
MR_90375_0,[C-:1](=[N+:5](\[C:3]([H:13])([H:14])[H:15])[C:6](=[O:7])[H:8])\[H:10].[C:2]([C:4]([H:16])([H:17])[H:18])([H:9])([H:11])[H:12]>>[C:1]([C:2]([C:4]([H:16])([H:17])[H:18])([H:11])[H:12])([N:5]([C:3]([H:13])([H:14])[H:15])[C:6](=[O:7])[H:8])([H:9])[H:10],11051,10219
MR_90377_1,[C:1](=[C:2]([H:8])[H:10])([H:6])[H:7].[H:9][O:15][C-:14]=[N+:13]([C:11]([H:17])([H:19])[H:20])[C:12]([H:18])([H:21])[H:22].[N:3]([H:4])([H:5])[H:16]>>[C:11]([N:13]([C:12]([H:18])([H:21])[H:22])[C:14](=[O:15])[H:16])([H:17])([H:19])[H:20].[C:1]([C:2]([H:8])([H:9])[H:10])([N:3]([H:4])[H:5])([H:6])[H:7],11052,10220
MR_90378_0,[C:1](=[C:2]([H:8])[H:10])([H:6])[H:7].[H:9][O:13][C-:12]=[N+:11]([H:14])[H:15].[N:3]([H:4])([H:5])[H:16]>>[C:1]([C:2]([H:8])([H:9])[H:10])([N:3]([H:4])[H:5])([H:6])[H:7].[N:11]([C:12](=[O:13])[H:16])([H:14])[H:15],11053,10221
MR_90379_0,[C:1](=[C:2]([H:8])[H:10])([N:3]([H:4])[H:5])[H:6].[H:7][C:14]([N:13]([C:11]([H:17])([H:19])[H:20])[C:12]([H:18])([H:21])[H:22])([O:15][H:9])[H:16]>>[C:1]([C:2]([H:8])([H:9])[H:10])([N:3]([H:4])[H:5])([H:6])[N:13]([C:11]([H:17])([H:19])[H:20])[C:12]([H:18])([H:21])[H:22].[H:7][C:14](=[O:15])[H:16],11054,10222
MR_90477_2,[C:11]([C:13]([C:12]([H:17])([H:18])[H:19])=[C:14]([H:21])[H:22])([H:15])([H:16])[H:20].[C:1]([C:2]([H:8])([H:9])[H:10])([O:3][H:6])([O:4][H:5])[H:7]>>[C:1]([C:2]([H:8])([H:9])[H:10])([O:3][H:6])=[O:4].[H:5][C:14]([C:13]([H:7])([C:11]([H:15])([H:16])[H:20])[C:12]([H:17])([H:18])[H:19])([H:21])[H:22],11055,10223
MR_90508_2,[C:1](\[C:5]([N:4]([C:3]([H:16])([H:17])[H:18])[H:9])([O:7][C:2]([H:13])([H:14])[H:15])[O:8][H:11])(=[N:6]/[H:12])[H:10]>>[C:1]([C:5]([N:4]([C:3]([H:16])([H:17])[H:18])[H:9])=[O:8])([N:6]([H:11])[H:12])([O:7][C:2]([H:13])([H:14])[H:15])[H:10],11056,10224
MR_90560_1,[C:1](/[C:3](=[N:6]\[C:2](=[C:4]([H:9])[H:10])[O:5][H:7])[H:8])([H:11])([H:12])[H:13]>>[C:1]([C@@:3]1([H:8])[C:4]([H:9])([H:10])[C:2]([O:5][H:7])=[N:6]1)([H:11])([H:12])[H:13],11057,10225
MR_90561_1,[C:1]([C-:3]=[N+:6]=[C:2]([C:4]([H:8])([H:9])[H:10])[O:5][H:7])([H:11])([H:12])[H:13]>>[C:1](/[C:3](=[N:6]/[C:2](=[C:4]([H:9])[H:10])[O:5][H:7])[H:8])([H:11])([H:12])[H:13],11058,10226
MR_90561_2,[C:1]([C-:3]=[N+:6]=[C:2]([C:4]([H:8])([H:9])[H:10])[O:5][H:7])([H:11])([H:12])[H:13]>>[C:1](/[C:3](=[N:6]/[C:2](=[C:4]([H:9])[H:10])[O:5][H:7])[H:8])([H:11])([H:12])[H:13],11059,10226
MR_90662_0,[C-:1]([C:3]([H:12])([H:13])[H:14])(/[N+:4](=[C:5](\[N:6]=[C:2]([H:9])[H:10])[H:11])[H:7])[H:8]>>[C:1]1([C:3]([H:12])([H:13])[H:14])([H:8])[C:2]([H:9])([H:10])[N:6]=[C:5]([H:11])[N:4]1[H:7],11060,10227
MR_90703_0,[C:1]([N@@+:2](/[C:3](=[N:5]/[H:7])[H:8])([O-:4])[H:6])([H:9])([H:10])[H:11]>>[C:1]([N:2]([O:4]/[C:3](=[N:5]\[H:7])[H:8])[H:6])([H:9])([H:10])[H:11],11061,10228
MR_90745_1,[C:1](=[N:4][H:8])([H:10])[H:11].[C:2]([C:6]([C:5](=[C:3]=[C:7]([H:14])[H:15])[H:12])([H:9])[H:13])([H:16])([H:17])[H:18]>>[C:1]([C:3](/[C:5](=[C:6](\[C:2]([H:16])([H:17])[H:18])[H:13])[H:12])=[C:7]([H:14])[H:15])([N:4]([H:8])[H:9])([H:10])[H:11],11062,10229
MR_90768_1,[C:1]([C:2]([H:13])([H:14])[H:15])(/[C:4](=[C:5](/[C:3]([H:16])([H:17])[H:18])[O:8][H:11])[O:6][H:9])([O:7][H:10])[H:12]>>[C:1](\[C:2]([H:13])([H:14])[H:15])(=[C:4](/[C:5]([C:3]([H:16])([H:17])[H:18])=[O:8])[O:6][H:9])[H:12].[O:7]([H:10])[H:11],11063,10230
MR_90814_1,[C:1]([C:3]12[C:4]([O:8][H:9])=[C:6]([H:10])[C:5]1([C:2]([H:14])([H:15])[H:16])[O:7]2)([H:11])([H:12])[H:13]>>[C:1]([c:3]1[c:4]([O:8][H:9])[c:6]([H:10])[c:5]([C:2]([H:14])([H:15])[H:16])[o:7]1)([H:11])([H:12])[H:13],11064,10231
MR_90846_1,[C:1]1([H:8])([H:9])[C:2](=[O:5])[C:3]([O:6][H:7])([H:10])[O:4]1>>[C:1]([C:2]([C:3](=[O:6])[H:10])=[O:5])([O:4][H:7])([H:8])[H:9],11065,10232
MR_90857_1,[C:17]([C:18](=[O:19])[H:20])([H:21])([H:22])[H:23].[C:1]([C:4](=[C:5]([C:2]([H:11])([H:12])[H:13])[C:3]([H:14])([H:15])[H:16])[O:6][H:7])([H:8])([H:9])[H:10]>>[C:1]([C:4]([C:5]([C:2]([H:11])([H:12])[H:13])([C:3]([H:14])([H:15])[H:16])[C:18]([C:17]([H:21])([H:22])[H:23])([O:19][H:7])[H:20])=[O:6])([H:8])([H:9])[H:10],11066,10233
MR_90902_0,[C:1]([C:4]12[N:2]([H:8])/[C:3](=[N:7]/[H:9])[N:6]1[O:5]2)([H:10])([H:11])[H:12]>>[C:1]([C:4]1=[N+:6]([O-:5])/[C:3](=[N:7]\[H:9])[N:2]1[H:8])([H:10])([H:11])[H:12],11067,10234
MR_90903_1,[C:1]([C-:3]=[N+:6]=[O:5])([H:10])([H:11])[H:12].[C:2]([N:4]([H:8])[H:9])#[N:7]>>[C:1]([c:3]1[n:6][o:5][c:2]([N:4]([H:8])[H:9])[n:7]1)([H:10])([H:11])[H:12],11068,10235
MR_90905_0,[C:1]([N:2]([H:3])[H:4])([H:5])([H:6])[H:7].[C:8](\[N:10]([H:15])[H:16])([O:11][N:9]([H:13])[H:14])=[N:12]\[H:17]>>[C:1]([N:2]([H:3])/[C:8]([N:10]([H:15])[H:16])=[N:12]/[H:17])([H:5])([H:6])[H:7].[H:4][O:11][N:9]([H:13])[H:14],11069,10236
MR_90904_1,[C:1]([N:2]([H:3])[H:4])([H:5])([H:6])[H:7].[C:8](\[N:10]([H:15])[H:16])([O:11][N:9]([H:13])[H:14])=[N:12]\[H:17]>>[C:1]([N:2]([H:3])/[C:8]([N:10]([H:15])[H:16])=[N:12]/[H:17])([H:5])([H:6])[H:7].[H:4][O:11][N:9]([H:13])[H:14],11070,10236
MR_91073_1,[C:1]([C:4]1([C:2]([H:14])([H:15])[H:16])[N+:5]([H:8])([H:9])[C:3](=[C:7]([H:17])[H:18])[C-:6]1[H:10])([H:11])([H:12])[H:13]>>[C:1]([C:4]([C:2]([H:14])([H:15])[H:16])=[C:6]([C:3]([N:5]([H:8])[H:9])=[C:7]([H:17])[H:18])[H:10])([H:11])([H:12])[H:13],11071,10237
MR_91217_1,[C:1]([N:5]([C:6]([C:3]([H:16])([H:17])[H:18])=[O:9])/[C:7]([C:4]([H:19])([H:20])[H:21])=[N:8]\[C:2]([H:13])([H:14])[H:15])([H:10])([H:11])[H:12]>>[C:1](/[N:5]=[C:7](/[C:4]([H:19])([H:20])[H:21])[N:8]([C:2]([H:13])([H:14])[H:15])[C:6]([C:3]([H:16])([H:17])[H:18])=[O:9])([H:10])([H:11])[H:12],11072,10238
MR_9130_0,[C:1]1([H:7])=[C:5]([H:9])[C:4]2([H:10])[C:3]1([C:2]([H:11])([H:12])[H:13])[N:6]2[H:8]>>[C:1]1(/[C:3]([C:2]([H:11])([H:12])[H:13])=[N:6]\[H:8])([H:7])[C:4]([H:10])=[C:5]1[H:9],11073,10239
MR_91369_0,[C:1](=[C:5]([C:6](=[N:4]/[H:12])/[H:14])\[H:13])(\[O:7][H:8])[H:10].[C:2]([N:3]([H:9])[H:11])([H:15])([H:16])[H:17]>>[C:1]([N:3]([C:2]([H:15])([H:16])[H:17])[H:9])(/[C:5](=[C:6](\[N:4]([H:11])[H:12])[H:14])[H:13])([O:7][H:8])[H:10],11074,10240
MR_91369_1,[C:1](=[C:5]([C:6](=[N:4]/[H:12])/[H:14])\[H:13])(\[O:7][H:8])[H:10].[C:2]([N:3]([H:9])[H:11])([H:15])([H:16])[H:17]>>[C:1]([N:3]([C:2]([H:15])([H:16])[H:17])[H:9])(/[C:5](=[C:6](\[N:4]([H:11])[H:12])[H:14])[H:13])([O:7][H:8])[H:10],11075,10240
MR_91393_0,[C:1](\[N:3]([H:9])[H:10])(=[C:5]([C:6](=[N:4]\[H:12])\[H:14])/[H:13])[H:8].[C:2]([O:7][H:11])([H:15])([H:16])[H:17]>>[C:1]([N:3]([H:9])[H:10])(/[C:5](=[C:6](\[N:4]([H:11])[H:12])[H:14])[H:13])([O:7][C:2]([H:15])([H:16])[H:17])[H:8],11076,10241
MR_913_1,[C-:1]([C:3]([H:11])([H:13])[H:14])(/[N+:5](=[C:2](/[C:4]([H:12])([H:15])[H:16])[H:9])[H:6])[H:7].[H:8][H:10]>>[C:1]([C:3]([H:11])([H:13])[H:14])([N:5]([C:2]([C:4]([H:12])([H:15])[H:16])([H:9])[H:10])[H:6])([H:7])[H:8],11077,10242
MR_914_1,[C-:1]([C:3]([H:11])([H:13])[H:14])(/[N+:5](=[C:2](/[C:4]([H:12])([H:15])[H:16])[H:9])[H:6])[H:7].[H:8][H:10]>>[C:1]([C:3]([H:11])([H:13])[H:14])([N:5]([C:2]([C:4]([H:12])([H:15])[H:16])([H:9])[H:10])[H:6])([H:7])[H:8],11078,10242
MR_91496_1,[C:1]([C:5]([C:3]([N:2]([N:6]([H:11])[H:12])[H:10])=[O:9])([C-:4]=[N+:7]([H:13])[H:14])[N:8]([H:15])[H:16])([H:17])([H:18])[H:19]>>[C:1](/[C:5](=[C:4](/[C:3]([N:2]([N:6]([H:11])[H:12])[H:10])=[O:9])[N:7]([H:13])[H:14])[N:8]([H:15])[H:16])([H:17])([H:18])[H:19],11079,10243
MR_91503_0,[C:1](/[N:6]=[N+:5](/[N-:3][H:8])[C:4]([C:2]([H:12])([H:13])[H:14])=[O:7])([H:9])([H:10])[H:11]>>[C:1](/[N:6]=[N:5]/[N:3]([C:4]([C:2]([H:12])([H:13])[H:14])=[O:7])[H:8])([H:9])([H:10])[H:11],11080,10244
MR_91558_2,[C:1]([C:3]([C:4]([C:2]([H:11])([H:12])[H:13])=[C:5]([H:14])[H:15])=[C:6]=[O:7])([H:8])([H:9])[H:10]>>[C:1]([C:3]1=[C:4]([C:2]([H:11])([H:12])[H:13])[C:5]([H:14])([H:15])[C:6]1=[O:7])([H:8])([H:9])[H:10],11081,10245
MR_91560_0,[C-:2]([C:5]([H:17])([H:18])[H:19])([N+:7](=[C:4]([H:15])[H:16])[H:9])[H:11].[C:1](=[C:3](\[C:6]([H:20])([H:21])[H:22])[H:12])(\[N:8]([H:13])[H:14])[H:10]>>[C:1]1([N:8]([H:13])[H:14])([H:10])[C:2]([C:5]([H:17])([H:18])[H:19])([H:11])[N:7]([H:9])[C:4]([H:15])([H:16])[C:3]1([C:6]([H:20])([H:21])[H:22])[H:12],11082,10246
MR_91560_1,[C-:2]([C:5]([H:17])([H:18])[H:19])([N+:7](=[C:4]([H:15])[H:16])[H:9])[H:11].[C:1](=[C:3](\[C:6]([H:20])([H:21])[H:22])[H:12])(\[N:8]([H:13])[H:14])[H:10]>>[C:1]1([N:8]([H:13])[H:14])([H:10])[C:2]([C:5]([H:17])([H:18])[H:19])([H:11])[N:7]([H:9])[C:4]([H:15])([H:16])[C:3]1([C:6]([H:20])([H:21])[H:22])[H:12],11083,10246
MR_91743_0,[C:1]1([C:3]([H:9])([H:10])[H:11])=[N:6][N:7]1[H:16].[C:2](=[C:4]([H:12])[H:13])([C:5]([H:14])([H:15])[H:17])[H:8]>>[C:1]1([C:2]([C:4]([H:12])([H:13])[H:16])([C:5]([H:14])([H:15])[H:17])[H:8])([C:3]([H:9])([H:10])[H:11])[N:6]=[N:7]1,11084,10247
MR_91750_0,[C:1]1([C:2]2([H:9])[C:3]([C:6]([H:16])([H:17])[H:18])([H:10])[C:4]2([H:11])[H:12])([C:5]([H:13])([H:14])[H:15])[N:7]=[N:8]1>>[C:1]([C:2]1([H:9])[C:3]([C:6]([H:16])([H:17])[H:18])([H:10])[C:4]1([H:11])[H:12])([C:5]([H:13])([H:14])[H:15])=[N+:7]=[N-:8],11085,10248
MR_91751_0,[C:1]1([C:2]2([H:9])[C:3]([C:6]([H:16])([H:17])[H:18])([H:10])[C:4]2([H:11])[H:12])([C:5]([H:13])([H:14])[H:15])[N:7]=[N:8]1>>[C:1]([C:2]1([H:9])[C:3]([C:6]([H:16])([H:17])[H:18])([H:10])[C:4]1([H:11])[H:12])([C:5]([H:13])([H:14])[H:15])=[N+:7]=[N-:8],11086,10248
MR_91807_2,[C-:1](/[N+:6](=[N:5]/[N:7]([H:10])[H:11])[H:9])([H:12])[H:13].[C:2]([N:4]([C:3]([H:17])([H:18])[H:19])[H:8])([H:14])([H:15])[H:16]>>[C:1]([N:4]([C:2]([H:14])([H:15])[H:16])[C:3]([H:17])([H:18])[H:19])([N:6]([N:5]([N:7]([H:10])[H:11])[H:8])[H:9])([H:12])[H:13],11087,10249
MR_92014_0,[C:1](=[N:2][H:5])([H:7])[H:8].[H:6][N:9]([N:10]([H:11])[H:14])[H:12].[O:3]([H:4])[H:13]>>[C:1]([N:2]([H:5])[H:6])([O:3][H:4])([H:7])[H:8].[N:9]([N:10]([H:11])[H:14])([H:12])[H:13],11088,10250
MR_92222_1,[C:1]([C:4]([C:2]([O:5][H:9])=[O:8])(/[C-:3]=[O+:6]\[H:10])[H:14])([O:7][H:11])([H:12])[H:13]>>[C:1](/[C:3](=[C:4](/[C:2]([O:5][H:9])=[O:8])[H:14])[O:6][H:10])([O:7][H:11])([H:12])[H:13],11089,10251
MR_92295_2,[C:1]([N:4]1[C:6](=[N:7][H:10])[N:8]1[C:3]([H:18])([H:19])[H:20])([H:12])([H:13])[H:14].[C:2]([N:5]([H:9])[H:11])([H:15])([H:16])[H:17]>>[C:1]([N:4]([N:5]([C:2]([H:15])([H:16])[H:17])[H:9])/[C:6]([N:7]([H:10])[H:11])=[N:8]\[C:3]([H:18])([H:19])[H:20])([H:12])([H:13])[H:14],11090,10252
MR_92481_1,[C:1]([C:2]([C-:3]=[N+:5]([H:13])[H:14])(/[C:6](=[N:8]/[H:15])[H:16])[O:7][H:10])([N:4]([H:11])[H:12])=[O:9]>>[C:1](/[C:3](=[C:2]([C:6](=[N:8]\[H:15])\[H:16])/[O:7][H:10])[N:5]([H:13])[H:14])([N:4]([H:11])[H:12])=[O:9],11091,10253
MR_92706_1,[C:1]([C:3]([C:2]([C-:5]=[N+:4]([H:9])[H:10])([O:7][H:8])[H:11])=[C:6]([H:15])[H:16])([H:12])([H:13])[H:14]>>[C:1]([C:3](/[C:2](=[C:5](/[N:4]([H:9])[H:10])[H:11])[O:7][H:8])=[C:6]([H:15])[H:16])([H:12])([H:13])[H:14],11092,10254
MR_92786_0,[C:1]([C:4]([C:3]([H:13])([H:14])[H:15])=[O:7])([O:5][O:6][C:2]([H:10])([H:11])[H:12])([H:8])[H:9]>>[C:1](=[O:5])([H:8])[H:9].[C:2]([O:6][C:4]([C:3]([H:13])([H:14])[H:15])=[O:7])([H:10])([H:11])[H:12],11093,10255
MR_92960_0,[C:1]([O:7][C:3]([N:5]([H:11])[H:12])=[C:6]([H:16])[H:17])([H:13])([H:14])[H:15].[C:2]([N:4]([H:9])[H:10])#[N:8]>>[C:1]([O:7]/[C:3](=[N:5]\[H:11])[C:6]([H:10])([H:16])[H:17])([H:13])([H:14])[H:15].[C:2]([N:4]([H:9])[H:12])#[N:8],11094,10256
MR_93140_0,[C:11]([C:13]([H:21])([H:22])[H:23])([C:14]([C:12]([H:18])([H:19])[H:20])=[O:15])([H:16])[H:17].[C:1]([C:2]([H:8])([H:9])[H:10])([O:3][H:6])([O:4][H:5])[H:7]>>[C:1]([C:2]([H:8])([H:9])[H:10])(=[O:3])[O:4][H:5].[H:6][O:15][C:14]([H:7])([C:11]([C:13]([H:21])([H:22])[H:23])([H:16])[H:17])[C:12]([H:18])([H:19])[H:20],11095,10257
MR_93208_0,[C:14]([O:15][H:16])([H:17])([H:18])[H:19].[C:1](/[C:3]([C:2]([H:11])([H:12])[H:13])=[N:5]/[H:8])([N:4]([H:6])[H:7])([H:9])[H:10]>>[C:1]([C:3]([C:2]([H:11])([H:12])[H:13])([N:5]([H:8])[H:16])[O:15][C:14]([H:17])([H:18])[H:19])([N:4]([H:6])[H:7])([H:9])[H:10],11096,10258
MR_93220_0,[C:13]([N:14]([H:15])[H:16])([H:17])([H:18])[H:19].[C:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[O:5][H:7])=[O:6])([H:8])([H:9])[H:10]>>[C:1]([C:2](=[O:6])[N:14]([C:13]([H:17])([H:18])[H:19])[H:15])([H:8])([H:9])[H:10].[C:3](=[C:4]([H:11])[H:12])([O:5][H:7])[H:16],11097,10259
MR_9324_0,[C:1](=[C:3]([H:12])[H:13])([N:4]([H:7])[H:8])[H:6].[C:2]([O:5][H:17])([H:9])([H:10])[H:11].[H:14][O:16][C:15]([H:18])([H:19])[H:20]>>[C:15]([O:16][H:17])([H:18])([H:19])[H:20].[C:1]([C:3]([H:12])([H:13])[H:14])([N:4]([H:7])[H:8])([O:5][C:2]([H:9])([H:10])[H:11])[H:6],11098,10260
MR_93269_0,[C:1]([N:2]([C:3](=[O:4])[O:11]/[C:9]([C:8]([H:14])([H:15])[H:16])=[N:10]/[H:13])[H:12])([H:5])([H:6])[H:7]>>[C:1]([N:2]=[C:3]=[O:4])([H:5])([H:6])[H:7].[C:8]([C:9]([N:10]([H:12])[H:13])=[O:11])([H:14])([H:15])[H:16],11099,10261
MR_93303_2,[C:2](=[N:3][H:4])([H:6])[H:7].[N-:1]([H:5])[N+:8]([N:9]([H:10])[H:13])([H:11])[H:12]>>[N:1]([N:3]=[C:2]([H:6])[H:7])([H:4])[H:5].[N:8]([N:9]([H:10])[H:13])([H:11])[H:12],11100,10262
MR_93447_0,[C:13](#[N:14])[H:16].[C:1]([C:2]([H:7])([H:8])[H:9])([O:3][H:15])([H:5])[H:6].[H:4][N:12]([C:10]([H:17])([H:18])[H:19])[C:11]([H:20])([H:21])[H:22]>>[C:10]([N:12]([C:11]([H:20])([H:21])[H:22])/[C:13](=[N:14]\[H:15])[H:16])([H:17])([H:18])[H:19].[C:1]([C:2]([H:7])([H:8])[H:9])([O:3][H:4])([H:5])[H:6],11101,10263
MR_93457_2,[C-:2]([N+:6](=[C:4]([H:14])[H:15])[H:9])([H:10])[H:11].[C:1](=[C:3]([H:12])[H:13])([C:5]([H:16])([H:17])[H:18])[O:7][H:8]>>[C:1](=[C:3]([H:12])[H:13])([C:5]([H:16])([H:17])[H:18])[O:7][H:8].[C:2]1([H:10])([H:11])[C:4]([H:14])([H:15])[N:6]1[H:9],11102,10264
MR_93545_0,[C:1]([n:3]1[n:4]([H:7])[c:6]([H:8])[c:5]1[C:2]([H:12])([H:13])[H:14])([H:9])([H:10])[H:11]>>[C:1](/[N:3]=[C:5]([C:2]([H:12])([H:13])[H:14])/[C:6](=[N:4]\[H:7])[H:8])([H:9])([H:10])[H:11],11103,10265
MR_93577_0,[C:1](\[C:3]([H:18])([H:19])[H:20])(=[C:5]([N:7]([H:13])[H:14])\[N:8]=[N:6]\[H:12])[H:10].[C:2]([N:4]([H:9])[H:11])([H:15])([H:16])[H:17]>>[C:1]([C:3]([H:18])([H:19])[H:20])([N:4]([C:2]([H:15])([H:16])[H:17])[H:9])(/[C:5]([N:7]([H:13])[H:14])=[N:8]\[N:6]([H:11])[H:12])[H:10],11104,10266
MR_93677_2,[C:1]([O:6][N:3](/[C:4](=[C:5](/[C:2]([H:14])([H:15])[H:16])[H:10])[O:7][H:8])[H:9])([H:11])([H:12])[H:13]>>[C:1]([O:6][C:5]([C:2]([H:14])([H:15])[H:16])(/[C:4](=[N:3]\[H:9])[O:7][H:8])[H:10])([H:11])([H:12])[H:13],11105,10267
MR_93792_0,[C:1]([C-:5]=[N+:7]=[C:2]=[O:8])([H:14])([H:15])[H:16].[C:3]([N:4]([H:9])[H:10])(=[C:6]([H:12])[H:13])[H:11]>>[C:1](/[C:5](=[N:7]/[C:2]([C:3]([N:4]([H:9])[H:10])=[C:6]([H:12])[H:13])=[O:8])[H:11])([H:14])([H:15])[H:16],11106,10268
MR_93792_1,[C:1]([C-:5]=[N+:7]=[C:2]=[O:8])([H:14])([H:15])[H:16].[C:3]([N:4]([H:9])[H:10])(=[C:6]([H:12])[H:13])[H:11]>>[C:1](/[C:5](=[N:7]/[C:2]([C:3]([N:4]([H:9])[H:10])=[C:6]([H:12])[H:13])=[O:8])[H:11])([H:14])([H:15])[H:16],11107,10268
MR_93815_2,[C:1]([C:2](=[O:5])[N:6]=[C:3]=[C:4]([H:12])[H:13])([H:9])([H:10])[H:11].[H:7][H:8]>>[C:1](/[C:2]([O:5][H:7])=[N:6]/[C:3](=[C:4]([H:12])[H:13])[H:8])([H:9])([H:10])[H:11],11108,10269
MR_93830_1,[C:1](\[C:2]([H:11])([H:12])[H:13])(=[O+:4]\[C:3]([O:5][H:8])=[C:6](\[O-:7])[H:10])[H:9]>>[C:1]([C:2]([H:11])([H:12])[H:13])([O:4][C:3]([O:5][H:8])=[C:6]=[O:7])([H:9])[H:10],11109,10270
MR_93917_2,[C:1]1([N:8]([H:14])[H:15])([H:11])[C:6]([N:4]([C:2]([H:16])([H:17])[H:20])[C:3]([H:18])([H:19])[H:21])([N:5]([N:7]([H:12])[H:13])[H:10])[O:9]1>>[C:1]([N:4]([C:2]([H:16])([H:17])[H:20])[C:3]([H:18])([H:19])[H:21])([C:6]([N:5]([N:7]([H:12])[H:13])[H:10])=[O:9])([N:8]([H:14])[H:15])[H:11],11110,10271
MR_93960_1,[C:1]1([H:10])([H:11])[N:3]([C:2]([H:13])([H:14])[H:15])[C:6]2([H:12])[N:4]([H:9])[N:7]2[C:5]1=[O:8]>>[C:1]1([H:10])([H:11])[N:3]([C:2]([H:13])([H:14])[H:15])[C:6]([H:12])=[N:7][N:4]([H:9])[C:5]1=[O:8],11111,10272
MR_93967_0,[C:1](/[C:3](=[N+:6](\[N-:2][H:8])[C:5](=[N+:4]([H:9])[H:10])[H:11])[O-:7])([H:12])([H:13])[H:14]>>[C:1]([C:3]([N:2](/[N:6]=[C:5](/[N:4]([H:9])[H:10])[H:11])[H:8])=[O:7])([H:12])([H:13])[H:14],11112,10273
MR_93968_2,[C:1](/[C:3](=[N+:6](\[N-:2][H:8])[C:5](=[N+:4]([H:9])[H:10])[H:11])[O-:7])([H:12])([H:13])[H:14]>>[C:1]([C:3]([N:2](/[N:6]=[C:5](\[N:4]([H:9])[H:10])[H:11])[H:8])=[O:7])([H:12])([H:13])[H:14],11113,10273
